rebalance_frequency,signal_date,entry_date,factor,symbol,factor_value,selected_count,eligible_universe_count,capacity_at_5pct_adv_rmb
monthly,2024-07-31,2024-08-01,low_volatility_20d,508018,-0.025033616163423405,7,35,2000320.9622024999
monthly,2024-07-31,2024-08-01,low_volatility_20d,180202,-0.039056641301828635,7,35,2000320.9622024999
monthly,2024-07-31,2024-08-01,low_volatility_20d,180801,-0.03917875556021765,7,35,2000320.9622024999
monthly,2024-07-31,2024-08-01,low_volatility_20d,508098,-0.048437011808021256,7,35,2000320.9622024999
monthly,2024-07-31,2024-08-01,low_volatility_20d,508088,-0.049080060362856295,7,35,2000320.9622024999
monthly,2024-07-31,2024-08-01,market_composite,180601,0.75,7,35,2864463.8221150003
monthly,2024-07-31,2024-08-01,market_composite,508001,0.725,7,35,2864463.8221150003
monthly,2024-07-31,2024-08-01,market_composite,508088,0.7214285714285714,7,35,2864463.8221150003
monthly,2024-07-31,2024-08-01,market_composite,508018,0.7,7,35,2864463.8221150003
monthly,2024-07-31,2024-08-01,market_composite,180801,0.6928571428571428,7,35,2864463.8221150003
monthly,2024-07-31,2024-08-01,market_composite,508008,0.6678571428571428,7,35,2864463.8221150003
monthly,2024-07-31,2024-08-01,market_composite,508098,0.6571428571428571,7,35,2864463.8221150003
monthly,2024-08-30,2024-09-02,momentum_20d,180601,0.059846110002849784,8,36,1525411.1400000001
monthly,2024-08-30,2024-09-02,momentum_20d,180101,0.032553874369555036,8,36,1525411.1400000001
monthly,2024-08-30,2024-09-02,momentum_20d,508019,0.031967213114754145,8,36,1525411.1400000001
monthly,2024-08-30,2024-09-02,momentum_20d,508011,0.03172825681224345,8,36,1525411.1400000001
monthly,2024-08-30,2024-09-02,momentum_20d,508088,0.03140592896976813,8,36,1525411.1400000001
monthly,2024-08-30,2024-09-02,momentum_20d,508026,0.02679091438555603,8,36,1525411.1400000001
monthly,2024-08-30,2024-09-02,momentum_20d,508027,0.023630225915346692,8,36,1525411.1400000001
monthly,2024-08-30,2024-09-02,momentum_20d,180801,0.02319717599596549,8,36,1525411.1400000001
monthly,2024-08-30,2024-09-02,momentum_60d,508058,0.1391532655070562,8,36,983670.02
monthly,2024-08-30,2024-09-02,momentum_60d,508068,0.12649800266311573,8,36,983670.02
monthly,2024-08-30,2024-09-02,momentum_60d,180501,0.11363636363636376,8,36,983670.02
monthly,2024-08-30,2024-09-02,momentum_60d,508031,0.10037998733375564,8,36,983670.02
monthly,2024-08-30,2024-09-02,momentum_60d,508026,0.09844236760124603,8,36,983670.02
monthly,2024-08-30,2024-09-02,momentum_60d,508011,0.07800312012480481,8,36,983670.02
monthly,2024-08-30,2024-09-02,momentum_60d,508027,0.07003257328990231,8,36,983670.02
monthly,2024-08-30,2024-09-02,momentum_60d,180601,0.06975406299439091,8,36,983670.02
monthly,2024-08-30,2024-09-02,short_term_reversal_5d,508077,0.03427419354838701,8,36,1525411.1400000001
monthly,2024-08-30,2024-09-02,short_term_reversal_5d,508011,0.026760563380281766,8,36,1525411.1400000001
monthly,2024-08-30,2024-09-02,short_term_reversal_5d,180501,0.025784405094749885,8,36,1525411.1400000001
monthly,2024-08-30,2024-09-02,short_term_reversal_5d,180101,0.023840485478977103,8,36,1525411.1400000001
monthly,2024-08-30,2024-09-02,short_term_reversal_5d,508006,0.022564102564102684,8,36,1525411.1400000001
monthly,2024-08-30,2024-09-02,short_term_reversal_5d,508068,0.01969872537659334,8,36,1525411.1400000001
monthly,2024-08-30,2024-09-02,short_term_reversal_5d,508056,0.018199704869650724,8,36,1525411.1400000001
monthly,2024-08-30,2024-09-02,short_term_reversal_5d,180102,0.01727272727272744,8,36,1525411.1400000001
monthly,2024-08-30,2024-09-02,liquidity_20d,508088,16.852743726733284,8,36,5892876.4
monthly,2024-08-30,2024-09-02,liquidity_20d,508027,16.81550613072965,8,36,5892876.4
monthly,2024-08-30,2024-09-02,liquidity_20d,508018,16.763607436221537,8,36,5892876.4
monthly,2024-08-30,2024-09-02,liquidity_20d,180201,16.64504709435174,8,36,5892876.4
monthly,2024-08-30,2024-09-02,liquidity_20d,508021,16.613663372701573,8,36,5892876.4
monthly,2024-08-30,2024-09-02,liquidity_20d,508098,16.58695226012797,8,36,5892876.4
monthly,2024-08-30,2024-09-02,liquidity_20d,508000,16.534264390276096,8,36,5892876.4
monthly,2024-08-30,2024-09-02,liquidity_20d,508028,16.505545521437256,8,36,5892876.4
monthly,2024-08-30,2024-09-02,low_illiquidity_20d,508018,-0.009094891199223718,8,36,4187712.44
monthly,2024-08-30,2024-09-02,low_illiquidity_20d,508028,-0.012771619421179289,8,36,4187712.44
monthly,2024-08-30,2024-09-02,low_illiquidity_20d,508001,-0.013025753003551457,8,36,4187712.44
monthly,2024-08-30,2024-09-02,low_illiquidity_20d,508096,-0.018690757651402747,8,36,4187712.44
monthly,2024-08-30,2024-09-02,low_illiquidity_20d,508088,-0.018919784598719035,8,36,4187712.44
monthly,2024-08-30,2024-09-02,low_illiquidity_20d,180201,-0.025171591124026234,8,36,4187712.44
monthly,2024-08-30,2024-09-02,low_illiquidity_20d,180401,-0.02602057434130603,8,36,4187712.44
monthly,2024-08-30,2024-09-02,low_illiquidity_20d,508098,-0.027067266858755174,8,36,4187712.44
monthly,2024-08-30,2024-09-02,low_volatility_20d,508001,-0.027033295076261996,8,36,2160934.5958600002
monthly,2024-08-30,2024-09-02,low_volatility_20d,508028,-0.03285582451490902,8,36,2160934.5958600002
monthly,2024-08-30,2024-09-02,low_volatility_20d,508018,-0.042924439726726465,8,36,2160934.5958600002
monthly,2024-08-30,2024-09-02,low_volatility_20d,508096,-0.04626305823724156,8,36,2160934.5958600002
monthly,2024-08-30,2024-09-02,low_volatility_20d,508033,-0.05756314325291094,8,36,2160934.5958600002
monthly,2024-08-30,2024-09-02,low_volatility_20d,180202,-0.059122502228142276,8,36,2160934.5958600002
monthly,2024-08-30,2024-09-02,low_volatility_20d,180801,-0.06377932382890371,8,36,2160934.5958600002
monthly,2024-08-30,2024-09-02,low_volatility_20d,180401,-0.06960512050502649,8,36,2160934.5958600002
monthly,2024-08-30,2024-09-02,market_composite,508006,0.7291666666666667,8,36,3033161.94
monthly,2024-08-30,2024-09-02,market_composite,508018,0.6770833333333333,8,36,3033161.94
monthly,2024-08-30,2024-09-02,market_composite,508028,0.65625,8,36,3033161.94
monthly,2024-08-30,2024-09-02,market_composite,508033,0.6458333333333333,8,36,3033161.94
