snapshot_date,symbol,name,exchange,listing_date,source_url,membership_method,verification_status
2025-04-30,180301,红土创新盐田港REIT,SZSE,2021-06-21,https://disc.static.szse.cn/disc/disk02/finalpage/2021-06-21/2fef5b72-1ba1-4f42-be9d-3e347d3c7cb4.PDF,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,180302,华夏深国际REIT,SZSE,2024-07-09,https://disc.static.szse.cn/disc/disk03/finalpage/2024-07-09/aebd6a81-2102-4918-8d7c-91b1f6a70b00.PDF,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,180303,华泰宝湾物流REIT,SZSE,2024-10-29,https://disc.static.szse.cn/disc/disk03/finalpage/2024-10-28/175021e0-23bb-4c06-b8f5-6d400c5d6e1f.PDF,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,180305,南方顺丰物流REIT,SZSE,2025-04-21,https://disc.static.szse.cn/disc/disk03/finalpage/2025-04-18/f06324ed-3a9b-4eff-81e7-40bfab103942.PDF,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,180401,鹏华深圳能源REIT,SZSE,2022-07-26,https://disc.static.szse.cn/disc/disk03/finalpage/2022-07-26/09ebb270-c48c-43d7-9355-24c3884e2be5.PDF,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,180402,工银蒙能清洁能源REIT,SZSE,2024-12-10,https://disc.static.szse.cn/disc/disk03/finalpage/2024-12-10/29c5249d-1562-452c-a638-5b981c9c2c97.PDF,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,180501,红土创新深圳安居REIT,SZSE,2022-08-31,https://disc.static.szse.cn/disc/disk03/finalpage/2022-08-30/2e6d9b04-5698-411c-83ea-233a83043752.PDF,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,180502,招商基金蛇口租赁住房REIT,SZSE,2024-10-23,https://disc.static.szse.cn/disc/disk03/finalpage/2024-10-23/f1bf4feb-d549-424a-8126-8083d8899807.PDF,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,180601,华夏华润消费REIT,SZSE,2024-03-14,https://disc.static.szse.cn/disc/disk03/finalpage/2024-03-14/e12c074f-149f-46d2-93a8-268a91054a8c.PDF,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,180602,中金印力消费REIT,SZSE,2024-04-30,https://disc.static.szse.cn/disc/disk03/finalpage/2024-04-29/9c31a4b4-5688-4662-8e6c-97366b978138.PDF,official_listing_date_reconstruction,official_metadata_verified
