symbol,listing_date,publication_date,exchange,source_url,evidence_method,verification_status,raw_text
508087,2025-02-17,2025-02-17,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-02-17/508087_20250217_IG9K.pdf,official_listing_notice_title,official_metadata_verified,国泰君安济南能源供热封闭式基础设施证券投资基金上市交易提示性公告
508088,2022-10-14,2022-10-14,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-10-14/508088_20221014_1_3WWKuruN.pdf,official_listing_notice_title,official_metadata_verified,国泰君安东久新经济产业园封闭式基础设施证券投资基金上市交易提示性公告
508089,2024-07-02,2024-07-02,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-07-02/508089_20240702_WLD9.pdf,official_listing_notice_title,official_metadata_verified,华夏特变电工新能源封闭式基础设施证券投资基金上市交易提示性公告
508090,2025-07-29,2025-07-29,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-07-29/508090_20250729_FUTH.pdf,official_listing_notice_title,official_metadata_verified,中银中外运仓储物流封闭式基础设施证券投资基金上市交易提示性公告
508091,2025-09-29,2025-09-29,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-09-29/508091_20250929_4494.pdf,official_listing_notice_title,official_metadata_verified,华夏凯德商业资产封闭式基础设施证券投资基金上市交易提示性公告
508092,2025-02-26,2025-02-26,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-02-26/508092_20250226_M3BZ.pdf,official_listing_notice_title,official_metadata_verified,华夏金隅智造工场产业园封闭式基础设施证券投资基金上市交易提示性公告
508093,2026-05-26,2026-05-26,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-05-26/508093_20260526_X7WB.pdf,official_listing_notice_title,official_metadata_verified,易方达广西北投高速公路封闭式基础设施证券投资基金上市交易提示性公告
508096,2023-03-29,2023-03-29,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-29/508096_20230329_4X1X.pdf,official_listing_notice_title,official_metadata_verified,中航京能光伏封闭式基础设施证券投资基金上市交易提示性公告
508097,2024-12-03,2024-12-03,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-12-03/508097_20241203_F0VL.pdf,official_listing_notice_title,official_metadata_verified,华泰紫金南京建邺产业园封闭式基础设施证券投资基金上市交易提示性公告
508098,2023-02-08,2023-02-08,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-02-08/508098_20230208_MTLG.pdf,official_listing_notice_title,official_metadata_verified,嘉实京东仓储物流封闭式基础设施证券投资基金上市交易提示性公告
