symbol,quarterly_report_count,semiannual_report_count,annual_report_count,distribution_announcement_count,first_announcement_date,latest_announcement_date,asset_type,classification_status,asset_type_source_url,listing_date,listing_source_url,listing_status,has_periodic_report,has_distribution_announcement
180303,7,1,2,5,2024-08-29,2026-08-20,logistics,official_title_evidence,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/0e9cfb17-615f-435a-bd63-3504bf81d6e8.PDF,2024-10-29,https://disc.static.szse.cn/disc/disk03/finalpage/2024-10-28/175021e0-23bb-4c06-b8f5-6d400c5d6e1f.PDF,listed,True,True
180305,5,1,1,0,2025-03-12,2026-07-21,logistics,official_title_evidence,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/02292f89-fbb6-48d2-ace9-4d3ef573683f.PDF,2025-04-21,https://disc.static.szse.cn/disc/disk03/finalpage/2025-04-18/f06324ed-3a9b-4eff-81e7-40bfab103942.PDF,listed,True,False
180306,2,0,0,2,2025-10-24,2026-08-21,logistics,official_title_evidence,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/e915fd62-2eff-4f0e-b980-8d7bfaf982a9.PDF,2025-12-19,https://disc.static.szse.cn/disc/disk03/finalpage/2025-12-19/cb2c9860-ad76-4d2d-8480-276805ce26a5.PDF,listed,True,True
180401,16,3,4,9,2022-06-22,2026-07-20,gas_power,human_verified,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-20/62427907-8e2e-4a82-94bd-dd38d7f9998d.PDF,2022-07-26,https://disc.static.szse.cn/disc/disk03/finalpage/2022-07-26/09ebb270-c48c-43d7-9355-24c3884e2be5.PDF,listed,True,True
180402,6,1,1,2,2024-11-12,2026-08-01,renewable,official_title_evidence,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/5e92280c-2d77-4774-a060-a19382c1f6ee.PDF,2024-12-10,https://disc.static.szse.cn/disc/disk03/finalpage/2024-12-10/29c5249d-1562-452c-a638-5b981c9c2c97.PDF,listed,True,True
180501,15,3,4,10,2022-08-02,2026-07-21,rental_housing,official_title_evidence,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/51f3655b-c769-4903-a7d3-b43bf8b89ea5.PDF,2022-08-31,https://disc.static.szse.cn/disc/disk03/finalpage/2022-08-30/2e6d9b04-5698-411c-83ea-233a83043752.PDF,listed,True,True
180502,7,2,2,5,2024-09-09,2026-08-28,rental_housing,official_title_evidence,https://disc.static.szse.cn/disc/disk03/finalpage/2026-08-28/2049126a-a693-4172-b2b8-09ddcbe1696c.PDF,2024-10-23,https://disc.static.szse.cn/disc/disk03/finalpage/2024-10-23/f1bf4feb-d549-424a-8126-8083d8899807.PDF,listed,True,True
180503,1,0,0,0,2026-03-24,2026-07-30,rental_housing,official_title_evidence,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/94438251-4a8d-46a0-86cb-75010a2664c0.PDF,2026-04-29,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/a3ebe7be-6d65-4eb0-a515-dcf4d63b3ad8.PDF,listed,True,False
180601,10,2,2,10,2024-01-19,2026-08-26,retail,official_title_evidence,https://disc.static.szse.cn/disc/disk03/finalpage/2026-07-21/27e4f1fe-e491-4acc-ae1e-483b62d192be.PDF,2024-03-14,https://disc.static.szse.cn/disc/disk03/finalpage/2024-03-14/e12c074f-149f-46d2-93a8-268a91054a8c.PDF,listed,True,True
180602,9,3,2,8,2024-03-20,2026-08-28,retail,official_title_evidence,https://disc.static.szse.cn/disc/disk03/finalpage/2026-08-28/b0765aea-1e1c-4299-8b57-9f2568e14ca7.PDF,2024-04-30,https://disc.static.szse.cn/disc/disk03/finalpage/2024-04-29/9c31a4b4-5688-4662-8e6c-97366b978138.PDF,listed,True,True
