symbol,asset_id,period_end,metric,value,unit,raw_value,raw_unit,publication_date,source_url,source_note
508096,yulin_pv,2026-06-30,settlement_revenue,75000000,RMB,0.75,亿元（含税）,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508096_20260721_BTD8.pdf,项目级当期披露；报告值仅两位小数
508096,hubei_jingtai_pv,2026-06-30,availability_rate,99.99,percent,99.99,%,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508096_20260721_BTD8.pdf,项目级当期披露；设备利用率口径
508096,hubei_jingtai_pv,2026-06-30,power_generation,2200,10k_kWh,0.22,亿千瓦时,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508096_20260721_BTD8.pdf,项目级当期披露；报告值仅两位小数
508096,hubei_jingtai_pv,2026-06-30,utilization_hours,218.69,hours,218.69,小时,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508096_20260721_BTD8.pdf,项目级当期披露；等效利用小时
508096,hubei_jingtai_pv,2026-06-30,settled_electricity,2200,10k_kWh,0.22,亿千瓦时,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508096_20260721_BTD8.pdf,项目级当期披露；报告值仅两位小数
508096,hubei_jingtai_pv,2026-06-30,settlement_tariff,0.9155,RMB_per_kWh,0.9155,元/千瓦时（含税）,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508096_20260721_BTD8.pdf,项目级当期披露；最终实际结算均价
508096,hubei_jingtai_pv,2026-06-30,settlement_revenue,20000000,RMB,0.20,亿元（含税）,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508096_20260721_BTD8.pdf,项目级当期披露；报告值仅两位小数
508096,sujiahekou_hydro,2025-12-31,availability_rate,100,percent,100.00,%,2026-01-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-01-22/508096_20260122_2ECJ.pdf,项目级当期披露；仅计入2025年12月27日至31日，非完整季度；设备利用率口径
508096,sujiahekou_hydro,2025-12-31,power_generation,1300,10k_kWh,0.13,亿千瓦时,2026-01-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-01-22/508096_20260122_2ECJ.pdf,项目级当期披露；仅计入2025年12月27日至31日，非完整季度；报告值仅两位小数
508096,sujiahekou_hydro,2025-12-31,utilization_hours,39.95,hours,39.95,小时,2026-01-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-01-22/508096_20260122_2ECJ.pdf,项目级当期披露；仅计入2025年12月27日至31日，非完整季度；等效利用小时
